77	Brilliant idea to motivate exercise. Love it and thanks for an amazing feature.	 - HTC myTouch 3G 	 1.0.0	 - October 29, 2009
77	Really good app, its the only app I've ever paid for but its worth ...	 - HTC myTouch 3G 	 1.0.0	 - August 6, 2009
77	Very very good and well worth the 3 bucks. Like to see more stats, ...		 - Version 1.0.0	 - October 12, 2009
77	Great application, which can only get better!	 - HTC myTouch 3G 	 1.0.0	 - August 11, 2009
77	First time used it crashed after completing race & lost the current event.	 - Motorola Droid 	 1.0.0	 - December 18, 2009
77	Awsome.	 - HTC myTouch 3G 	 1.0.0	 - October 15, 2009
77	I'VE LOST 15 POUNDS SINCE USING CARDIO TRAINER.	 - HTC Evo 4G 	 1.0.0	 - July 8, 2009
77	Super cool exercise program. If want to have fun buy the full veresion!		 - Version 1.0.0	 - September 16, 2009
77	Great tool! Really helps motivate.		 - Version 1.0.0	 - January 10, 2010
77	This is a great app. Dont listen to negative posts. They either dont know ...	 - EeePad Transformer TF101 	 1.0.0	 - February 4, 2010
77	I bought the add-ons not really because I needed them but this is such ...	 - HTC Desire 	 1.0.0	 - November 20, 2009
77	Awesome app	 - Motorola Droid 	 1.0.0	 - November 9, 2009
77	Love this apparently it's a most have.		 - Version 1.0.0	 - October 19, 2009
77	Good		 - HTC One X	 - May 31, 2012
77	Incredible app, a must buy for anyone who runs!	 - Motorola Droid 	 1.0.0	 - November 19, 2009
77	Good program. Wish the 2 addons were in a bundle pack instead of doing ...	 - HTC myTouch 3G 	 1.0.0	 - January 3, 2010
77	Used the free version for a week and upgrading was a no brainer. This ...		 - Version 1.0.0	 - January 14, 2010
77	Cardiotrainer and it's add ons are the best things i have ever had for ...	 - HTC Evo 4G 	 1.0.0	 - November 29, 2009
77	Must have for runners! It makes you run faster	 - HTC Nexus One 	 1.0.0	 - November 26, 2009
77	Luv it	 - HTC myTouch 3G 	 1.0.0	 - October 29, 2009
77	Is great, now I don't have to use my car to know how to ...	 - HTC Droid Eris  	 1.0.0	 - December 30, 2009
77	Great motivator. Program looks and works great.	 - Motorola Droid 	 1.0.0	 - December 17, 2009
77	Love it		 - Version 1.0.0	 - December 16, 2009
77	Love this app	 - HTC Hero 	 1.0.0	 - January 19, 2010
77	MyTouch	 - HTC myTouch 3G 	 1.0.0	 - December 23, 2009
229	Good app	 - Samsung Nexus S 	 4.5.9.8	 - June 1, 2012
229	Great file search	 - Samsung Galaxy S2 	 4.5.9.6	 - May 31, 2012
229	All i needed		 - Version 4.5.6.2	 - June 12, 2012
229	Best around	 - HTC Sensation 4G 	 4.0.2.2	 - March 10, 2012
229	"Not licensed"	 - HTC Nexus One 	 4.0.2.2	 - March 31, 2012
229	Good apps	 - SEMC Xperia Mini 	 4.0.2.2	 - April 7, 2012
229	Worst Update EVER!!!	 - Motorola XOOM 	 4.0.1.1	 - February 1, 2012
229	New Version 31 January	 - HTC Sensation 4G 	 3.0.4.6	 - January 31, 2012
229	Doesn't do what it's paid to do!	 - Samsung Galaxy S2 	 3.0.4.6	 - November 14, 2011
229	Best	 - Motorola Defy 	 3.0.4.6	 - March 8, 2012
229	Unzipped encrypted 7z !!!	 - Samsung Galaxy Ace 	 3.0.4.6	 - December 30, 2011
229	Update	 - SEMC Xperia X10 	 3.0.4.6	 - October 26, 2011
229	It does most everything.		 - Version 3.0.4.6	 - December 16, 2011
229	Great	 - HTC Thunderbolt 	 3.0.4.6	 - November 7, 2011
229	Great app. DROID X	 - Motorola Droid X 	 3.0.4.2	 - August 9, 2011
412	Battery	 - Samsung Galaxy Note 	 2.12	 - May 28, 2012
412	Transparent screen	 - Huawei M865 	 2.12	 - March 21, 2012
412	Useful!	 - HTC Explorer 	 2.12	 - April 24, 2012
412	Excellent	 - Samsung Exhibit 2 4G 	 2.11	 - March 20, 2012
412	Great idea	 - HTC Nexus One 	 2.1	 - March 17, 2012
412	Step backwards	 - Samsung Galaxy Nexus 	 2.01	 - February 26, 2012
412	Perfect.	 - Samsung Galaxy S2 	 2.01	 - February 29, 2012
412	Needs improvement	 - Samsung Galaxy Nexus 	 2.01	 - February 26, 2012
412	HTC sensation	 - HTC Sensation 4G 	 2.01	 - February 26, 2012
412	Nice app!	 - Motorola Atrix 	 2.01	 - February 26, 2012
412	Good, but...		 - Version 2.00	 - February 24, 2012
412	Brilliant []^_^]	 - HTC Desire 	 1.14	 - February 22, 2012
412	Major bug!!	 - Samsung Galaxy S2 	 1.14	 - February 22, 2012
412	Absolutely Brilliant Idea!	 - Galaxy Player 	 1.13	 - February 15, 2012
412	Awsome app	 - HTC Nexus One 	 1.13	 - February 17, 2012
412	Holy crap!	 - Samsung Galaxy S2 	 1.13	 - February 21, 2012
412	Great app.	 - Samsung Galaxy S 	 1.13	 - February 18, 2012
412	See through phone	 - HTC Desire HD 	 1.13	 - February 16, 2012
412	Does what it says & does it well.	 - HTC Desire HD 	 1.13	 - February 15, 2012
412	Xperia PLAY 4G		 - Version 1.13	 - February 26, 2012
412	Excellent	 - Droid Bionic 	 1.13	 - February 18, 2012
